Deposco Configuration Task List,,,,,,,,,,8/12/2025,
Product / Task Group,Task,Task Details,"Out of Scope 
(SOW001)",Phase 2 Item,Comments,Owner,Status,% Complete,Locked,Due date,Delivery Date
Master Data,Storages ,"Create and upload Storage data to define the home picking location of items including minimum and maximun quantities at the location. This information will be needed to feed the suggested location logic in the Putaway process, and to create replenishment tasks.",FALSE,FALSE,,Omnipress,To-Do,0%,FALSE,Aug 15,
Master Data ,Items,Generate/extract item identifiers to use as UPCs. This is necessary for users to scan item barcodes for all handheld processes.   ,FALSE,FALSE,8/7 - Fany to add to MDD that Dep will generate a new item UPC when a new item is created,Omnipress,Closed,0%,FALSE,Aug 15,
Master Data,Items,"Update item attributes: UPC, Kit Stock, Kit Order, HS codes, Unit Price (customs value), Purchase Cost (production cost), reorder point. ",FALSE,FALSE,8/11 - New field mapping updated to include reorder point and skip new record creation,DEP & OMNI,To-Do,0%,FALSE,Aug 15,
Master Data,Items,Ensure that labels for all current items are available to scan using Veracore identifier as the UPC,FALSE,FALSE,,DEP & OMNI,To-Do,0%,FALSE,Aug 15,
Master Data,Packs,Generate and upload dimensions and weight data. This is needed for international shipments and for cartonization after phase 1,FALSE,FALSE,,DEP & OMNI,In Progress,50%,FALSE,Aug 15,
Master Data,Components,Generate and upload component data for kits. This information is required for both Kit to Stock and Kit to Order items.,FALSE,FALSE,,Omnipress,In Progress,25%,FALSE,Aug 15,
Master Data,Carton Types,Upload carton types using data exchange. Consider defining a Business Unit for family-specific cartons to narrow down the list of suggested cartons during packing. ,FALSE,FALSE,No specific cartons per BU,Omnipress,Complete,100%,FALSE,Aug 15,
Master Data,Shipping Door,Create shipping doors using in the UI. Navigate to :shipping door and select New. This is needed to the Assign Trip to Container flow (freight orders),FALSE,FALSE,8/7 - Deposco to share steps on how to create shipping doors. LINK TO INSTRUCTIONS: https://drive.google.com/file/d/1SJonVZ-XwB4TASjbsM8VjDLiET-ia9FG/view?usp=drive_link,Omnipress,To-Do,0%,FALSE,Aug 15,
Receiving ,Print Report workflow process configuration and item label creation,This process can be used to print item labels before receiving inventory,FALSE,FALSE,label size : 4x8,Deposco,To-Do,0%,FALSE,Aug 18,
Receiving,"Receiving V2 workflow process SIs (PO, Blind PO) and process validation",,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Aug 18,
Receiving,Receiving V2 workflow process SIs ( RMA receiving) and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Aug 18,
Receiving,Unreceiving workflow process SIs and process validation,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Aug 18,
Receiving,"Adjust all screen flows to show location number, instead of location locator",,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Returns,Provide return reasons to include in the Create RMA process,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,Aug 18,
Returns,Create RMA workflow process SIs and process validation,Add return reasons,FALSE,FALSE,,Deposco,In Progress,100%,TRUE,Aug 18,
Putaway,Move item workflow SIs,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,Aug 18,
Putway,Configure suggested Putaway logic,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Putaway,"Adjust all screen flows to show location number, instead of location locator",,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Replenishments,Replenishments workflow SIs and testing (manual and directed),,FALSE,FALSE,,Deposco,In Progress,100%,FALSE,Aug 18,
Replenishments,"Adjust all screen flows to show location number, instead of location locator",,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Cycle Counts,Workflow SIs for create CC by item and location,Hide quantity at the location and ignore zero variances,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
Cycle Counts,Workflow SIs for perform CC ,,FALSE,FALSE,,Deposco,To-Do,0%,FALSE,Aug 18,
