,Task Tracker,,,,,,,,,,,,,,,,,,
,,,,Blocker (Blocking progress on the project within next week),,,,,,,,,,,,,,,
,,,,Critical (Critical to go-live and our path to completion),,,,,,,,,,,,,,,
,,,,High(Impacting our path to go-live but able to work around or deal),,,,,,,,,,,,,,,
,,,,Low (No impact to path to completion),,,,,,,,,,,,,,,
,,,,NTH (Nice to Have),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Project Phase,TITLE,DESCRIPTION,TYPE,SEVERITY,PRIORITY,UAT Critical?,Go Live Critical?,STATUS,TEAM ,OWNER,Date Opened,Due Date,STEPS TO REPRODUCE,EXPECTED RESULT ,ACTUAL RESULT ,,,ETA,Misc
Implementation,Integrate Shopify,Connect Shopify Socket to Depsoco uisng Help Site,Task,High,1,TRUE,TRUE,Completed,HANKS,HANKS,3/1/2024,,,,,,,,
Implementation,Set Up Carriers,Set up UPS and USPS accounts in Deposco using Help Site,Task,High,2,TRUE,TRUE,Completed,HANKS,HANKS,3/1/2024,,,,,,,,
Implementation,Data Exchange - Locations,Upload all Locations into Depsoco using Data Exchange,Task,High,3,TRUE,TRUE,Completed,HANKS,HANKS,3/1/2024,,,,,,,,
Implementation,Data Exchange - Storage Details,Upload all Storage Details into Depsoco using Data Exchange,Task,High,4,TRUE,TRUE,Completed,HANKS,HANKS,3/1/2024,,,,,,,,
Implementation,Print Server Set Up,Set up print server using Help Site and get a single printer validation,Task,Low,1,TRUE,TRUE,Completed,HANKS,HANKS,3/1/2024,,,,,,,,
Implementation,Data Exchange - Packs,Upload all pack dimensions into Depsoco using Data Exchange,Task,High,4,TRUE,TRUE,Completed,HANKS,HANKS,3/11/2024,,,,,,,,
Implementation,Data Exchange - Vendors,Upload all Item Vendor recorda into Depsoco using Data Exchange,Task,High,2,FALSE,TRUE,Completed,HANKS,HANKS,3/14/2024,,,,,,,,
Implementation,Data Exchange - Pick Sequence,Add all pick sequences to their cooresponding DE,Task,High,1,TRUE,TRUE,Completed,HANKS,HANKS,3/14/2024,,,,,,,,
Implementation,Inbound Test Cases,Complete all test cases revolving around Inbound processes,Task,High,2,TRUE,TRUE,Completed,HANKS,HANKS,3/19/2024,,,,,,,,
Implementation,Inventory Test Cases,Complete all test cases revolving around Inventory processes,Task,High,3,TRUE,TRUE,Completed,HANKS,HANKS,3/19/2024,,,,,,,,
Implementation,Set up printers on Print client,Set up all printers at pack stations and receive printer validations,Task,High,4,TRUE,TRUE,Completed,HANKS,HANKS,3/19/2024,,,,,"4 Pack stations with printers set up and validating. Ordering 3 more for overflow stations next week. Also, the 8.5x11 document sheet printer is setup and validated. It is The Xerox-DOC. All printers are hard wired through ethernet also instead of wireless.",,,
Implementation,Outbound Test Cases,Complete all test cases revolving around the Outbound processes,Task,High,3,TRUE,TRUE,Completed,HANKS,HANKS,3/25/2024,,,,,,,,
UAT,Pick Wave ID: 4796,Bad order profile stamp,Issue,High,,FALSE,TRUE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Troubleshoot Hanks Multis Waves,Look into 5 or 6 orders being placed on wave,Issue,High,,FALSE,TRUE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Add # of Orders API to PW,Add # of Orders API to PW,Request,Low,,FALSE,TRUE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Troubleshoot Items without SD,Brian states there are items without SD that are not populating on the widget,Issue,Low,,FALSE,TRUE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Batch Picking - More info screen update,"batch picking, flip the order of way we are presenting items/picktasks (query update)",Request,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Order profiling,"Identicals, only do singles",Request,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,CS Order view - AV Hold - change Title to enumerated field,"(Contact Customer, Contact Customer Done, etc.)",Request,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,"Make widget for items without pack dims, prioritize items on orders","Make widget for items without pack dims, prioritize items on orders",Request,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,SOP creation,Provide Sample SOPs to Hanks team and TANGO walk thru,Task,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,Item ATR update - exclude hold locations,"exclude locations that are ""on hold""",Task,Low,,FALSE,FALSE,Completed,DEP,,4/2/2024,,,,,,,,
UAT,PO Arrived Checkbox,"Add checkbox on PO to denote when a PO has ""arrived"" at the building",Request,Low,,FALSE,FALSE,Completed,DEP,,4/3/2024,,,,,,,,
UAT,UPS Calls Being Slow,UPS Calls about 4/ min,Issue,High,,FALSE,FALSE,Completed,DEP,,4/3/2024,,,,,,,,
UAT,HANKS BIg orders,Place on Hold,Task,Low,,FALSE,FALSE,Open,DEP,,4/3/2024,,,,,,,,
UAT,Hanks Receiving Buttons,Add buttons for HANKS receiving both unsellable and good,Task,Low,,FALSE,FALSE,Completed,DEP,,4/4/2024,,,,,,,,
UAT,Clear out Transactional data from PROD,Stock Units from receiving testing,Task,Low,,FALSE,FALSE,Completed,DEP,,4/4/2024,,,,,,,,
UAT,Inspection order processing,"HANKS - add tag with title ""Inspect"", DEP - put order on ""Hold - Inspection"" (Loop thru notes on OH, find body = 'inspect')",Request,Low,,FALSE,FALSE,Completed,DEP,,4/4/2024,,,,,,,,
UAT,CS dashboard,set up basic CS dashboard for Bonnie,Task,Low,,FALSE,FALSE,Completed,DEP,,4/4/2024,,,,,,,,
Continuous Improvement,Market Pro Integration,Markets Pro Integration for International orders to get label. Deposco team check on development progress.,Task,High,,FALSE,FALSE,Moved to Ticket Portal,DEP/HANKS,,4/6/2024,,,,,Request ticket,,,
Go Live,Inventory Sync to Shopify,Montior inventory sync to Shopify and validate working as expected,Task,Critical,,FALSE,FALSE,Completed,DEP,Mitch,4/9/2024,,,,,,,,
Go Live,Printing Queue Backs Up,Error causes queue to pause - workaround is for Brian to run script in command prompt to clear but happens fairly often for unknown reason,Issue,High,,FALSE,FALSE,Completed,DEP/HANKS,,4/8/2024,,,,,,,,
Go Live,Shopify unfilfilled orders,Will investigate on 4/9. 2-3 orders affected,Issue,High,,FALSE,FALSE,Completed,DEP,Mitch,4/9/2024,,,,,,,,
Go Live,PO Error Out,Matt to show timeout error when clicking to view a PO,Issue,Low,,FALSE,FALSE,Completed,DEP/HANKS,,4/6/2024,,,,,,,,
Go Live,Multiple Items to same Order,Get with Morgan to understand questions regarding multiple items on the same order ,Issue,Low,,FALSE,FALSE,Completed,DEP/HANKS,,4/6/2024,,,,,,,,
Continuous Improvement,Update Orders after release,"Look into a way of updating only specific fields after release (ship via, ship info)",Request,Low,,FALSE,FALSE,Moved to Ticket Portal,DEP,,4/8/2024,,,,,Request tiket,,,
